Name,Type
TimeInCarChampionshipEvents,Int
BeautySpotsDiscovered,Int
OnlineInfectedGamesEntered,Int
OnlineRoadTripDistanceDriven,Float
TotalLineUpFansEarned,Int
CarManufacturersOwned,Int
MidnightBattlesWon,Int
LapsCompletedInRivals,Int
MostSuccessfulCar,Int
FlagRushGamesEntered,Int
OnlinePodiumFinishes,Int
OnlineRoadTripLastWinDay,Int
OnlineCumulativeFinishPos,Int
MostSuccessfulCarWins,Int
FavouriteRadioStation,Int
DriftZonesCompleted,Int
OnlineTimeSpentInCareerCoop,Int
OnlineRacesEntered,Int
TimeInMidnightBattles,Int
CarChampionshipEventsRaced,Int
MidnightBattlesEntered,Int
DangerSignsCompleted,Int
TotalLineUpCreditsEarned,Int
TotalFansEarned,Int
OnlineCoopBucketlistEventsComple,Int
CarChampionshipEventPodiums,Int
OnlineEventsFinished,Int
TimesSpokenToAnna,Int
TimeInRaceEncounters,Int
RoadTripDistanceDriven,Float
TotalCoOpFansEarned,Int
CarChampionshipsCompleted,Int
OnlineStreetRacesEntered,Int
LocationsDiscovered,Int
TimeInRoadTrips,Int
ShowcasesWonTotal,Int
TotalCoOpCreditsEarned,Int
OnlineRacesQuit,Int
DrivatarLineupCount,Int
NumRacesSinglePlayer,Int
SpeedTrapsCompleted,Int
TimeInStreetRaces,Int
OnlineTeamRacesWon,Int
TotalCoOpXpEarned,Int
